reference,longitude,latitude,timestamp,probability of failure,time of day
asset_101,-74.01722728,40.70670629999999,10/27/12 0:00,2.4100000000000003e-05,midnight
asset_102,-74.00407625,40.72052963,10/27/12 0:00,0.000305843,midnight
asset_103,-73.96037924,40.81575506,10/27/12 0:00,0.00012447899999999999,midnight
asset_104,-73.99743096,40.718388700000006,10/27/12 0:00,2.08e-05,midnight
asset_105,-73.94056933,40.83963367,10/27/12 0:00,5.2900000000000005e-05,midnight
asset_106,-73.95208444,40.81469005,10/27/12 0:00,2.37e-05,midnight
asset_107,-73.97524741,40.72160461,10/27/12 0:00,0.0006719419999999999,midnight
asset_108,-73.92721209999999,40.87023615,10/27/12 0:00,0.00028758799999999997,midnight
asset_109,-73.95075205,40.82615757,10/27/12 0:00,4.3799999999999994e-05,midnight
asset_110,-73.92036564,40.86089706,10/27/12 0:00,0.000603269,midnight
asset_111,-73.98318117,40.78115925,10/27/12 0:00,4.6500000000000005e-05,midnight
asset_112,-73.96602889,40.81172665,10/27/12 0:00,0.000291709,midnight
asset_113,-74.01617077,40.70212494,10/27/12 0:00,0.000166297,midnight
asset_114,-73.91176704,40.87088155,10/27/12 0:00,0.000134935,midnight
asset_115,-73.96933026,40.76218331,10/27/12 0:00,0.000119738,midnight
asset_116,-74.04619331,40.69053129,10/27/12 0:00,1.36e-05,midnight
asset_117,-73.9750985,40.74264329,10/27/12 0:00,6.16e-06,midnight
asset_118,-73.97853057,40.72332016,10/27/12 0:00,8.39e-05,midnight
asset_119,-73.98742917,40.77115916,10/27/12 0:00,0.000451213,midnight
asset_120,-73.97673031,40.75086013,10/27/12 0:00,5.8299999999999994e-05,midnight
asset_121,-74.00242388,40.75018734,10/27/12 0:00,0.000150223,midnight
asset_122,-73.93850894,40.79802314,10/27/12 0:00,6.63e-05,midnight
asset_123,-73.99410579,40.73788857,10/27/12 0:00,0.00094547,midnight
asset_124,-74.00383329,40.72102258,10/27/12 0:00,8.99e-05,midnight
asset_125,-73.93699752,40.8268614,10/27/12 0:00,9.04e-06,midnight
asset_126,-74.01051055,40.70282402,10/27/12 0:00,0.000748485,midnight
asset_127,-74.00567246,40.73472919,10/27/12 0:00,3.0799999999999996e-05,midnight
asset_128,-73.9937373,40.73683918,10/27/12 0:00,5.6399999999999995e-05,midnight
asset_129,-74.01679067,40.71001105,10/27/12 0:00,1.62e-05,midnight
asset_130,-73.99598365,40.73710614,10/27/12 0:00,5.34e-06,midnight
asset_131,-73.92020620000001,40.86494192,10/27/12 0:00,0.000579599,midnight
asset_132,-73.94071231,40.82329919,10/27/12 0:00,5.96e-05,midnight
asset_133,-73.97588593,40.76090236,10/27/12 0:00,3.07e-05,midnight
asset_134,-73.96636811,40.76343182,10/27/12 0:00,0.000440003,midnight
asset_135,-73.96108637,40.76065495,10/27/12 0:00,5.19e-05,midnight
asset_136,-73.93542651,40.85113266,10/27/12 0:00,0.00021423599999999997,midnight
asset_137,-73.98796931,40.7470957,10/27/12 0:00,0.001109929,midnight
asset_138,-73.94781197,40.78461266,10/27/12 0:00,0.000239736,midnight
asset_139,-73.97632746,40.74242779,10/27/12 0:00,2.49e-05,midnight
asset_140,-73.99364144,40.73805621,10/27/12 0:00,8.46e-05,midnight
asset_141,-73.96629592,40.80278001,10/27/12 0:00,5.91e-05,midnight
asset_142,-73.93214215,40.84171876,10/27/12 0:00,0.000145564,midnight
asset_143,-73.99864568,40.75355137,10/27/12 0:00,1.11e-05,midnight
asset_144,-73.97881461,40.72154199,10/27/12 0:00,5.08e-05,midnight
asset_145,-73.93153859,40.86946056,10/27/12 0:00,1.84e-05,midnight
asset_146,-74.00397629,40.71834828,10/27/12 0:00,0.0007837930000000001,midnight
asset_147,-73.98334762,40.74547765,10/27/12 0:00,5.05e-05,midnight
asset_148,-73.97826769,40.75662066,10/27/12 0:00,0.000103298,midnight
asset_149,-73.989132,40.73485855,10/27/12 0:00,5.16e-05,midnight
asset_150,-73.99274687,40.76604084,10/27/12 0:00,1.18e-05,midnight
asset_151,-73.91707905,40.86631621,10/27/12 0:00,2.0600000000000003e-05,midnight
asset_152,-73.99442105,40.72547277,10/27/12 0:00,5.7499999999999995e-05,midnight
asset_153,-73.97921499,40.77936462,10/27/12 0:00,2.0300000000000002e-05,midnight
asset_154,-73.94030974,40.82842989,10/27/12 0:00,0.003125522,midnight
asset_155,-73.92408257,40.87626107,10/27/12 0:00,0.00020036700000000001,midnight
asset_156,-73.97215385,40.75115075,10/27/12 0:00,4.73e-05,midnight
asset_157,-74.01092794,40.73935069,10/27/12 0:00,8.68e-05,midnight
asset_158,-73.98613768,40.75464855,10/27/12 0:00,8.04e-05,midnight
asset_159,-73.94424136,40.80473215,10/27/12 0:00,0.00053476,midnight
asset_160,-74.00797422,40.72136758,10/27/12 0:00,9.58e-05,midnight
asset_161,-73.96307688,40.81154599,10/27/12 0:00,3.6700000000000004e-05,midnight
asset_162,-73.97689427,40.72518836,10/27/12 0:00,2.6600000000000003e-05,midnight
asset_163,-73.97148373,40.80247084,10/27/12 0:00,2.14e-05,midnight
asset_164,-73.93514967,40.81745722,10/27/12 0:00,0.0007452439999999999,midnight
asset_165,-73.94961309,40.79794787,10/27/12 0:00,6.720000000000001e-05,midnight
asset_166,-73.97639649,40.74267269,10/27/12 0:00,2.3100000000000002e-05,midnight
asset_167,-73.92625117,40.87351254,10/27/12 0:00,3.66e-05,midnight
asset_168,-73.96929321,40.78725274,10/27/12 0:00,0.000753587,midnight
asset_169,-74.00776154,40.74418602,10/27/12 0:00,9.379999999999999e-05,midnight
asset_170,-73.98468558,40.74361199,10/27/12 0:00,7.58e-05,midnight
asset_171,-73.9988016,40.7609105,10/27/12 0:00,0.000275302,midnight
asset_172,-74.00010767,40.73220497,10/27/12 0:00,4.6399999999999996e-05,midnight
asset_173,-74.00131068,40.74586231,10/27/12 0:00,6.56e-05,midnight
asset_174,-73.95361225,40.75765025,10/27/12 0:00,0.000185162,midnight
asset_175,-73.93719529,40.84057667,10/27/12 0:00,0.000344578,midnight
asset_176,-73.98114598,40.77266976,10/27/12 0:00,7.09e-05,midnight
asset_177,-73.93225671,40.86668349,10/27/12 0:00,4.7600000000000005e-05,midnight
asset_178,-74.00020448,40.70820867,10/27/12 0:00,8.690000000000001e-05,midnight
asset_179,-73.92131690000001,40.86876061,10/27/12 0:00,0.00011434100000000001,midnight
asset_180,-74.03872675,40.69950861,10/27/12 0:00,0.00029199,midnight
asset_181,-73.98043787,40.71934967,10/27/12 0:00,7.2e-05,midnight
asset_182,-74.00523549,40.70955845,10/27/12 0:00,5.3500000000000006e-05,midnight
asset_183,-73.9410286,40.78861569,10/27/12 0:00,0.00156184,midnight
asset_184,-73.94818956,40.79497079,10/27/12 0:00,0.00018156,midnight
asset_185,-74.01412767,40.68994892,10/27/12 0:00,8.98e-05,midnight
asset_186,-73.99154698,40.75699613,10/27/12 0:00,0.000328524,midnight
asset_187,-73.97703961,40.78374932,10/27/12 0:00,0.000238515,midnight
asset_188,-73.99002343,40.75984877,10/27/12 0:00,0.00020877,midnight
asset_189,-73.93688745,40.80796511,10/27/12 0:00,0.000402862,midnight
asset_190,-74.01029619,40.71185733,10/27/12 0:00,0.075924933,midnight
asset_191,-74.00669226,40.72685628,10/27/12 0:00,0.000640362,midnight
asset_192,-74.00948576,40.70325662,10/27/12 0:00,3.3600000000000004e-05,midnight
asset_193,-73.97731393,40.72906579,10/27/12 0:00,0.002969367,midnight
asset_194,-73.97746670000001,40.79671982,10/27/12 0:00,0.00015793600000000001,midnight
asset_195,-73.98545131,40.76243185,10/27/12 0:00,3.4200000000000005e-05,midnight
asset_196,-73.99300002,40.73758739,10/27/12 0:00,4.5600000000000004e-05,midnight
asset_197,-73.94836585,40.82578043,10/27/12 0:00,0.000129799,midnight
asset_198,-73.93655058,40.82904294,10/27/12 0:00,7.92e-07,midnight
asset_199,-73.94538299999999,40.77660513,10/27/12 0:00,9.17e-05,midnight
asset_200,-73.99634862,40.75923644,10/27/12 0:00,2.0399999999999998e-05,midnight
asset_201,-73.99786122,40.7401869,10/27/12 0:00,7.31e-06,midnight
asset_202,-73.95254078,40.82440361,10/27/12 0:00,2.7600000000000003e-05,midnight
asset_203,-73.9764842,40.7964981,10/27/12 0:00,0.002208293,midnight
asset_204,-73.91868493,40.79190525,10/27/12 0:00,2.4299999999999998e-05,midnight
asset_205,-74.01207785,40.7057397,10/27/12 0:00,0.000143605,midnight
asset_206,-73.96768017,40.75829264,10/27/12 0:00,7.36e-06,midnight
asset_207,-73.94610131,40.81543052,10/27/12 0:00,1.31e-05,midnight
asset_208,-73.98611179,40.78237079,10/27/12 0:00,0.00038095,midnight
asset_209,-73.98551205,40.72319101,10/27/12 0:00,1.92e-05,midnight
asset_210,-73.94329737,40.83407565,10/27/12 0:00,7.53e-05,midnight
asset_211,-73.93833005,40.83709088,10/27/12 0:00,0.000679858,midnight
asset_212,-73.94070233,40.83421859,10/27/12 0:00,2.99e-05,midnight
asset_213,-73.97888619,40.71731255,10/27/12 0:00,0.000104415,midnight
asset_214,-73.93529083,40.83056533,10/27/12 0:00,0.000106426,midnight
asset_215,-73.99493509,40.72513605,10/27/12 0:00,2.3e-05,midnight
asset_216,-74.01021344,40.71985663,10/27/12 0:00,2.07e-05,midnight
asset_217,-73.97500813,40.73706939,10/27/12 0:00,0.000465861,midnight
asset_218,-73.9917087,40.75022663,10/27/12 0:00,0.000116619,midnight
asset_219,-73.93029899,40.85777618,10/27/12 0:00,0.000371842,midnight
asset_220,-73.95411757,40.80824711,10/27/12 0:00,4.7600000000000005e-05,midnight
asset_221,-73.92709842,40.8500648,10/27/12 0:00,0.001002282,midnight
asset_222,-73.94285735,40.79432608,10/27/12 0:00,9.990000000000002e-05,midnight
asset_223,-73.96482751,40.76113812,10/27/12 0:00,0.000154551,midnight
asset_224,-73.99082613,40.7185771,10/27/12 0:00,0.000152473,midnight
asset_225,-73.94795038,40.7729369,10/27/12 0:00,8.52e-05,midnight
asset_226,-74.00480193,40.71571603,10/27/12 0:00,0.00013711799999999998,midnight
asset_227,-73.93861373,40.83121498,10/27/12 0:00,0.0007370310000000001,midnight
asset_228,-74.0015877,40.7216093,10/27/12 0:00,5.6899999999999994e-05,midnight
asset_229,-73.99897795,40.72491285,10/27/12 0:00,0.002908383,midnight
asset_230,-73.94672429,40.80471972,10/27/12 0:00,1.7800000000000002e-05,midnight
asset_231,-73.9524595,40.78500231,10/27/12 0:00,1.1599999999999999e-05,midnight
asset_232,-73.98369524,40.74066317,10/27/12 0:00,0.000224684,midnight
asset_233,-73.92652712,40.86082601,10/27/12 0:00,0.001427162,midnight
asset_234,-73.94679425,40.79135526,10/27/12 0:00,0.000423561,midnight
asset_235,-73.95202501,40.80703256,10/27/12 0:00,0.0012649789999999998,midnight
asset_236,-73.99633188,40.73185914,10/27/12 0:00,0.0006351859999999999,midnight
asset_237,-73.97564405,40.71845745,10/27/12 0:00,9.77e-06,midnight
asset_238,-73.97934332,40.76656523,10/27/12 0:00,0.000216506,midnight
asset_239,-73.96323262,40.80708203,10/27/12 0:00,1.0300000000000001e-05,midnight
asset_240,-73.94477161,40.79958727,10/27/12 0:00,5.14e-06,midnight
asset_241,-73.98818768,40.75896027,10/27/12 0:00,2.75e-05,midnight
asset_242,-73.98265714,40.73105943,10/27/12 0:00,0.0006668710000000001,midnight
asset_243,-73.94800759999998,40.78296559,10/27/12 0:00,2.61e-05,midnight
asset_244,-73.92346907,40.79150892,10/27/12 0:00,3.2500000000000004e-05,midnight
asset_245,-74.00673447,40.71920789,10/27/12 0:00,0.000120268,midnight
asset_246,-73.93291809,40.78831012,10/27/12 0:00,0.00015889,midnight
asset_247,-74.00195172,40.73519005,10/27/12 0:00,2.0399999999999998e-05,midnight
asset_248,-73.94736168,40.82306455,10/27/12 0:00,2.65e-05,midnight
asset_249,-74.00668865,40.7325346,10/27/12 0:00,8.03e-05,midnight
asset_250,-73.94003738,40.79836396,10/27/12 0:00,0.00022413099999999997,midnight
asset_251,-73.93618586,40.81093837,10/27/12 0:00,3.86e-05,midnight
asset_252,-73.94775695,40.81412907,10/27/12 0:00,0.00041648,midnight
asset_253,-73.95253814,40.82767705,10/27/12 0:00,1.85e-05,midnight
asset_254,-73.94638969,40.77922529,10/27/12 0:00,2.3800000000000003e-05,midnight
asset_255,-74.00185462,40.70914446,10/27/12 0:00,8.22e-05,midnight
asset_256,-73.91597685,40.79400155,10/27/12 0:00,1.1400000000000001e-05,midnight
asset_257,-73.9974781,40.75030776,10/27/12 0:00,6.879999999999999e-05,midnight
asset_258,-73.97536491,40.74315046,10/27/12 0:00,0.00117847,midnight
asset_259,-73.97957672,40.7195855,10/27/12 0:00,4.1700000000000004e-05,midnight
asset_260,-73.99865775,40.71780491,10/27/12 0:00,0.000769242,midnight
asset_261,-73.97589032,40.71851189,10/27/12 0:00,2.33e-06,midnight
asset_262,-73.96705719,40.76811294,10/27/12 0:00,0.00013282799999999998,midnight
asset_263,-74.00741196,40.705054,10/27/12 0:00,5.9499999999999996e-05,midnight
asset_264,-74.00905266,40.71328008,10/27/12 0:00,0.000192783,midnight
asset_265,-73.96062041,40.80524716,10/27/12 0:00,0.00023616299999999998,midnight
asset_266,-73.98847879,40.77195239,10/27/12 0:00,1.42e-05,midnight
asset_267,-74.00343211,40.7201213,10/27/12 0:00,3.8299999999999996e-05,midnight
asset_268,-73.98955436,40.76888735,10/27/12 0:00,5.85e-07,midnight
asset_269,-73.92650276,40.86444999,10/27/12 0:00,9.54e-05,midnight
asset_270,-73.99543413,40.76168226,10/27/12 0:00,3.96e-07,midnight
asset_271,-73.95125731,40.81841473,10/27/12 0:00,4.35e-07,midnight
asset_272,-73.92949623,40.87058484,10/27/12 0:00,3.65e-06,midnight
asset_273,-73.98911669,40.75580973,10/27/12 0:00,3.6099999999999997e-05,midnight
asset_274,-73.92264433,40.78905307,10/27/12 0:00,0.000135123,midnight
asset_275,-73.98384176,40.75153803,10/27/12 0:00,8.38e-06,midnight
asset_276,-73.93849545,40.81989501,10/27/12 0:00,0.000484496,midnight
asset_277,-73.93309471,40.85221969,10/27/12 0:00,1.25e-05,midnight
asset_278,-74.00054331,40.71436807,10/27/12 0:00,0.002304488,midnight
asset_279,-74.01147806,40.72689295,10/27/12 0:00,3.9e-05,midnight
asset_280,-73.92816969,40.78588813,10/27/12 0:00,2.1600000000000003e-05,midnight
asset_281,-73.95071417,40.77136556,10/27/12 0:00,7.159999999999999e-05,midnight
asset_282,-73.98103226,40.72037944,10/27/12 0:00,0.000619789,midnight
asset_283,-73.99503809,40.77037072,10/27/12 0:00,3.96e-05,midnight
asset_284,-74.01103553,40.71516745,10/27/12 0:00,1.19e-06,midnight
asset_285,-74.0074676,40.70596932,10/27/12 0:00,8.53e-05,midnight
asset_286,-73.94819818,40.80472062,10/27/12 0:00,1.29e-06,midnight
asset_287,-73.94243915,40.83062585,10/27/12 0:00,3.9500000000000005e-05,midnight
asset_288,-74.014874,40.70159118,10/27/12 0:00,0.007235465,midnight
asset_289,-73.98254204,40.73194622,10/27/12 0:00,0.00014599600000000002,midnight
asset_290,-73.94713529,40.79798454,10/27/12 0:00,0.000186149,midnight
asset_291,-73.94044244,40.84691196,10/27/12 0:00,0.00047880199999999996,midnight
asset_292,-73.94869693,40.80148816,10/27/12 0:00,2.8899999999999998e-05,midnight
asset_293,-73.99629261,40.75127082,10/27/12 0:00,1.34e-06,midnight
asset_294,-73.96946903,40.76620267,10/27/12 0:00,1.22e-06,midnight
asset_295,-73.99798966,40.74937617,10/27/12 0:00,3.3e-06,midnight
asset_296,-73.98185775,40.74890787,10/27/12 0:00,0.00054354,midnight
asset_297,-73.98476425,40.71685006,10/27/12 0:00,5.96e-06,midnight
asset_298,-73.93502679,40.82237752,10/27/12 0:00,3.13e-05,midnight
asset_299,-73.92677541,40.79558185,10/27/12 0:00,0.0025675760000000002,midnight
asset_300,-74.00915206,40.745380299999994,10/27/12 0:00,4.04e-06,midnight
asset_301,-73.94157547,40.83457689,10/27/12 0:00,1.65e-05,midnight
asset_302,-73.92443125,40.79084899,10/27/12 0:00,9.53e-05,midnight
asset_303,-73.93400667,40.80129259,10/27/12 0:00,9.89e-05,midnight
asset_304,-73.96696299,40.81015987,10/27/12 0:00,9e-05,midnight
asset_305,-73.99063947,40.75436329,10/27/12 0:00,0.000250711,midnight
asset_306,-73.99749253,40.71360634,10/27/12 0:00,2.36e-05,midnight
asset_307,-73.97825526,40.75300134,10/27/12 0:00,0.001444924,midnight
asset_308,-73.95489821,40.80862113,10/27/12 0:00,8.48e-06,midnight
asset_309,-73.9591306,40.80431077,10/27/12 0:00,0.000137576,midnight
asset_310,-73.98069391,40.76347897,10/27/12 0:00,0.000384038,midnight
asset_311,-74.01611006,40.71689095,10/27/12 0:00,0.000174456,midnight
asset_312,-73.98969424,40.745217600000004,10/27/12 0:00,4.5e-07,midnight
asset_313,-73.93473657,40.79531299,10/27/12 0:00,4.5600000000000004e-05,midnight
asset_314,-73.99253375,40.75942358,10/27/12 0:00,0.00015369100000000002,midnight
asset_315,-74.00324769,40.72345036,10/27/12 0:00,7.790000000000001e-07,midnight
asset_316,-73.98485747,40.7526386,10/27/12 0:00,3.3600000000000004e-05,midnight
asset_317,-73.99180402,40.76137944,10/27/12 0:00,5.8299999999999994e-05,midnight
asset_318,-73.92179323,40.79496393,10/27/12 0:00,4.48e-06,midnight
asset_319,-73.92338240000001,40.86035828,10/27/12 0:00,0.0021521360000000002,midnight
asset_320,-73.93425947,40.81384271,10/27/12 0:00,0.000282617,midnight
asset_321,-74.01819862,40.68946898,10/27/12 0:00,0.000168912,midnight
asset_322,-73.95247796,40.78081802,10/27/12 0:00,0.000440852,midnight
asset_323,-73.96200336,40.77016376,10/27/12 0:00,1.73e-05,midnight
asset_324,-73.97717499,40.75671284,10/27/12 0:00,9.62e-07,midnight
asset_325,-73.95923202,40.81859353,10/27/12 0:00,1.42e-05,midnight
asset_326,-73.93227928,40.79672328,10/27/12 0:00,0.00020971,midnight
asset_327,-73.97641174,40.74910498,10/27/12 0:00,3.19e-05,midnight
asset_328,-73.97758913,40.71854718,10/27/12 0:00,0.000206992,midnight
asset_329,-74.00783894,40.73068849,10/27/12 0:00,1.52e-05,midnight
asset_330,-73.92306858,40.79193843,10/27/12 0:00,7.49e-05,midnight
asset_331,-73.94698201,40.8144452,10/27/12 0:00,3.66e-05,midnight
asset_332,-73.92288389,40.79299089,10/27/12 0:00,5.15e-06,midnight
asset_333,-73.93428131,40.86250947,10/27/12 0:00,0.000113461,midnight
asset_334,-73.97331228,40.72798845,10/27/12 0:00,1.13e-05,midnight
asset_335,-74.02197874,40.68867508,10/27/12 0:00,3.04e-05,midnight
asset_336,-73.97286646,40.74244567,10/27/12 0:00,9.04e-05,midnight
asset_337,-73.9731452,40.74944013,10/27/12 0:00,3.35e-07,midnight
asset_338,-73.93948793,40.84572943,10/27/12 0:00,0.001121266,midnight
asset_339,-73.94842439,40.83625334,10/27/12 0:00,0.001302765,midnight
asset_340,-73.98349361,40.72432415,10/27/12 0:00,0.000210762,midnight
asset_341,-74.00003841,40.72601909,10/27/12 0:00,3.2200000000000005e-07,midnight
asset_342,-73.95217742,40.77859358,10/27/12 0:00,1.92e-05,midnight
asset_343,-73.92080171,40.79263235,10/27/12 0:00,3.54e-05,midnight
asset_344,-74.00176858,40.74334752,10/27/12 0:00,0.000113616,midnight
asset_345,-73.99550498,40.72900326,10/27/12 0:00,0.000712808,midnight
asset_346,-73.99611385,40.76604216,10/27/12 0:00,5.3e-05,midnight
asset_347,-73.97280002,40.80323361,10/27/12 0:00,0.000226305,midnight
asset_348,-73.95654932,40.81441309,10/27/12 0:00,9.63e-06,midnight
asset_349,-73.93199513,40.80016081,10/27/12 0:00,0.00012555299999999998,midnight
